shot,flat_top_start,flat_top_end
56442,0.1271,0.570800126
56443,0.1331,1.561
56445,0.1271,0.571300089
56448,0.1331,1.5953
56450,0.1331,0.424900115
56452,0.1271,0.595400095
56454,0.1271,1.54460013
56457,0.188100263,0.6102
56459,0.1331,0.434700131
56460,0.1271,0.621500134
56463,0.133100271,0.76669997
56464,0.133100271,0.876599967
56465,0.133100271,1.48019993
56466,0.133100271,1.28479993
56476,0.1331,0.9001
56484,0.3481,0.561300099
56486,0.1331,0.535900116
56492,0.1331,0.873800099
56494,0.1881,0.361200124
56501,0.1881,0.365200102
56506,0.1881,1.07130015
56508,0.1881,1.5602001
56514,0.1881,1.468
56517,0.1271,1.82
56519,0.188100263,0.6723
56522,0.1271,1.5427
56525,0.188100263,0.645199955
56526,0.1271,1.5269
56528,0.1271,0.462800115
56531,0.1271,0.929500103
56537,0.1601,1.662
56538,0.0871002674,0.99789995
56541,0,0
56543,0.3301,0.338200122
56546,0,0
56547,0.1601,0.693700135
56548,0.1601,0.707900107
56549,0.2501,0.288700104
56550,0.2281,1.2525
56551,0.2281,1.05480015
56552,0.0871002674,1.301
56554,0.2281,1.92380011
56557,0.1881,1.468
56558,0,0
56559,0.428000271,1.2641
56562,0.428,1.52810013
56563,0.428,1.15150011
56564,0.428,1.167
56566,0,0
56567,0.428,1.2769
56574,0.428,1.23600006
56575,0.428,1.25140011
56585,0.133100271,1.80459988
56586,0.133100271,0.624799967
56587,0.133100271,0.6301
56588,0.133100271,2.07600021
56589,0.133100271,1.47719991
56592,0.1881,1.468
56597,0.100100264,0.812
56610,0.1481,2.189
56615,0.2801,1.52180016
56628,0.1881,1.468
56631,0.1881,2.05770016
56632,0.37,1.70890009
56637,0.188100263,1.77000022
56639,0.37,0.887000144
56646,0.0921,1.32520008
56649,0.37,1.72860014
56651,0.1271,1.72
56652,0.2001,0.271500111
56653,0.3001,0.837100089
56654,0.2001,0.270800114
56656,0.2281,1.0092001
56657,0.2281,0.974900126
56658,0.2281,0.975800097
56660,0.1601,0.241600111
56661,0.1601,0.252500117
56662,0.2281,1.8
56663,0.2281,1.04710007
56665,0.2281,0.637000144
56670,0.1881,1.468
56671,0.1881,1.24260008
56674,0.2281,0.811600089
56675,0.2801,0.952500105
56681,0.2801,0.85
56683,0.2281,1.15240014
56686,0.1331,0.196100011
56687,0.0871002674,1.8201
56691,0.2281,1.15630007
56695,0.2281,0.986300111
56697,0.2281,1.3526001
56699,0.2281,1.13330007
56700,0.2281,1.07010007
56702,0.0871002674,2.16579986
56705,0.2281,0.746000111
56712,0.1881,1.468
56714,0,0
56715,0,0
56717,0.428,1.20260012
56718,0.428,1.10080016
56719,0.428,1.09290016
56722,0.0871,2.477
56734,0.2281,0.952400088
56735,0.2281,0.850300133
56736,0.2281,0.857300103
56737,0.2281,1.35290015
56740,0.188100263,1.77000022
56744,0.37,1.13310015
56745,0.2281,0.837300122
56748,0.37,1.00630009
56749,0.37,1.48110008
56750,0.37,1.60640013
56782,0.1881,0.5200001
56784,0.188100263,1.09429991
56785,0.1881,0.288000107
56787,0.188100263,0.56979996
56788,0.1881,0.285000116
56789,0.1881,0.322200119
56790,0.3001,1.72790015
56793,0.300100267,1.77000022
56796,0.1881,0.774600089
56798,0.1881,0.693500102
56801,0.1881,0.561500132
56803,0.188100263,0.5858
56805,0.188100263,0.6383
56815,0.1881,1.468
56833,0.37010026,1.1473
56837,0.37010026,0.6784
56839,0.37010026,0.852099955
56843,0.1881,1.468
56847,0.2281,0.835200131
56848,0.22810027,0.966699958
56853,0.659000278,1.90000021
56857,0.133100271,1.3294
56861,0.188100263,1.91379988
56862,0.188100263,1.074
56864,0.0871002674,2.40299988
56865,0.0871002674,2.40369987
56868,0.0871002674,2.40909982
